STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP SNWD SNOW
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231209
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231210
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231212
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231213
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231214
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231215
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231216
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231217
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231218
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231219
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231220
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231221
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231222
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231223
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231224
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231225
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231226
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231227
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231228
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231229
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231230
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231231
MOULTON 2 AL US 189.6 20231201 -9999 -9999
MOULTON 2 AL US 189.6 20231202 -9999 -9999
MOULTON 2 AL US 189.6 20231203 -9999 -9999
MOULTON 2 AL US 189.6 20231204 -9999 -9999
MOULTON 2 AL US 189.6 20231206 -9999 -9999
MOULTON 2 AL US 189.6 20231207 -9999 -9999
MOULTON 2 AL US 189.6 20231208 -9999 -9999
MOULTON 2 AL US 189.6 20231209 -9999 -9999
MOULTON 2 AL US 189.6 20231210 -9999 -9999
MOULTON 2 AL US 189.6 20231211 -9999 -9999
MOULTON 2 AL US 189.6 20231212 -9999 -9999
MOULTON 2 AL US 189.6 20231213 -9999 -9999
